data_horario,total,total_sem_reagendado,compareceu,nao_compareceu,reagendado
"2022-02-09 16:00:00",5,5,2,3,0
"2022-02-09 17:00:00",10,9,0,9,1
"2022-02-10 09:00:00",1,1,0,1,0
"2022-02-10 10:00:00",3,1,0,1,2
"2022-02-10 11:00:00",3,3,2,1,0
"2022-02-10 12:00:00",3,3,1,2,0
"2022-02-10 14:00:00",1,1,0,1,0
"2022-02-10 15:00:00",3,2,1,1,1
"2022-02-10 16:00:00",3,3,0,3,0
"2022-02-10 17:00:00",3,2,0,2,1
"2022-02-11 09:00:00",2,2,0,2,0
"2022-02-11 10:00:00",2,1,1,0,1
"2022-02-11 11:00:00",3,2,1,1,1
"2022-02-11 12:00:00",1,0,0,0,1
"2022-02-11 14:00:00",5,5,0,5,0
"2022-02-11 15:00:00",5,5,1,4,0
"2022-02-11 16:00:00",5,4,2,2,1
"2022-02-11 17:00:00",8,7,0,7,1
"2022-02-12 08:00:00",9,8,2,6,1
"2022-02-12 09:00:00",10,9,5,4,1
"2022-02-12 10:00:00",10,8,0,8,2
"2022-02-12 11:00:00",11,10,2,8,1
"2022-02-12 13:00:00",8,7,1,6,1
"2022-02-12 14:00:00",9,7,0,7,2
"2022-02-12 15:00:00",10,8,0,8,2
"2022-02-12 16:00:00",11,9,0,9,2
"2022-02-15 09:00:00",4,4,1,3,0
"2022-02-15 10:00:00",5,4,0,4,1
"2022-02-15 11:00:00",2,1,0,1,1
"2022-02-15 12:00:00",1,1,1,0,0
"2022-02-15 14:00:00",4,3,1,2,1
"2022-02-15 15:00:00",6,6,0,6,0
"2022-02-15 16:00:00",8,8,3,5,0
"2022-02-15 17:00:00",5,3,1,2,2
"2022-02-16 09:00:00",6,6,1,5,0
"2022-02-16 10:00:00",4,4,1,3,0
"2022-02-16 11:00:00",2,2,0,2,0
"2022-02-16 12:00:00",2,2,0,2,0
"2022-02-16 14:00:00",3,3,2,1,0
"2022-02-16 15:00:00",2,1,0,1,1
"2022-02-16 16:00:00",1,0,0,0,1
"2022-02-16 17:00:00",2,2,1,1,0
"2022-02-17 09:00:00",5,5,3,2,0
"2022-02-17 11:00:00",1,1,0,1,0
"2022-02-17 12:00:00",1,1,0,1,0
"2022-02-17 14:00:00",2,2,1,1,0
"2022-02-17 15:00:00",2,1,0,1,1
"2022-02-17 16:00:00",2,2,1,1,0
"2022-02-17 17:00:00",2,1,0,1,1
"2022-02-18 09:00:00",2,2,1,1,0
"2022-02-18 10:00:00",3,3,1,2,0
"2022-02-18 11:00:00",3,3,1,2,0
"2022-02-18 12:00:00",1,1,0,1,0
"2022-02-18 14:00:00",5,3,1,2,2
"2022-02-18 15:00:00",4,4,0,4,0
"2022-02-18 16:00:00",1,1,0,1,0
"2022-02-18 17:00:00",5,4,1,3,1
"2022-02-19 08:00:00",3,3,1,2,0
"2022-02-19 09:00:00",5,5,1,4,0
"2022-02-19 10:00:00",10,8,3,5,2
"2022-02-19 11:00:00",6,6,0,6,0
"2022-02-19 13:00:00",10,9,3,6,1
"2022-02-19 14:00:00",10,10,3,7,0
"2022-02-19 15:00:00",9,7,2,5,2
"2022-02-19 16:00:00",8,7,2,5,1
"2022-02-22 09:00:00",6,5,3,2,1
"2022-02-22 10:00:00",9,8,0,8,1
"2022-02-22 11:00:00",7,4,1,3,3
"2022-02-22 12:00:00",1,1,0,1,0
"2022-02-22 14:00:00",8,7,1,6,1
